Clavariadelphus / fistulosus,Clavariadelphaceae,Gomphales,Phallomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Clavariadelphus / junceus,,,,,,,,
Clavariadelphus / pistillaris,,,,,,,,
Clavulina / cinerea,Clavulinaceae,Cantharellales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Clavulina / cristata,,,,,,,,
Clavulina / sp.,,,,,,,,
Clitocybe / dealbata,,,,,,,,
Clitocybe / inversa,,,,,,,,
Clitocybe / odora,Tricholomataceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Clitocybe / rivulosa,Tricholomataceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Clitocybe / sp.,,,,,,,,
Collybia / dryophila,Omphalotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Collybia / erythropus,,,,,,,,
Collybia / fusipes,Omphalotaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Collybia / maculata,,,,,,,,
Collybia / nummularia,,,,,,,,
Collybia / radicata,Tricholomataceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Collybia / sp.,,,,,,,,
Comatricha / laxa,,,,,,,,
Coprinus / atramentarius,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Coprinus / comatus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Coprinus / disseminatus,Psathyrellaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Coprinus / domesticus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Coprinus / micaceus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Coprinus / pallidisimus,,,,,,,,
Coprinus / picaceus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basiodiomycota,,
Coprinus / silvaticus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basiodiomycota,,
Coprinus / sp.,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basiodiomycota,,
Cordyceps / ophioglossoides,,,,,,,,
Coriolellus / albidus,Formitopsidaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Coriolus / hirsutus,Polyporaceae s.lato,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Coriolus / versicolor,Polyporaceae s.lato,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Cortinarius / orellanus,Cortinariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Cortinarius / sp.,,,,,,,,
Cortinarius / trivialis,,,,,,,,
Craterellus / cornucopioides,,,,,,,,
Crepidotus / applanatus,,,,,,,,
Crepidotus / mollis,Inocybaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Crepidotus / mollis var.calolepis,,,,,,,,
Crepidotus / sp.,,,,,,,,
Crepidotus / subsphaerosporus,Inocybaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Crepidotus / variabilis,Inocybaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Cyathus / striatus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Cystoderma / amianthinum,,,,,,,,
Cystoderma / granulosum,,,,,,,,
Dacrymyces / stillatus,Dacrymycetaceae,Dacrymycetales,Incertae sedis,Dacrymycetes,Agaricomycotina,Basidiomycota,,
Daedalea / quercina,Formitopsidaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Daedaleopsis / confragosa,Polyporaceae s.lato,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Diatrype / disciformis,Diatrypaceae,Xylariales,Xylariomycetidae,Sordariomycetes,Pezizomycotina,Ascomycota,,
Dichomitus / campestris,,,,,,,,
Disciotis / venosa,,,,,,,,
Ditiola / radicata,Dacrymycetaceae,Dacrymycetales,Incertae sedis,Dacrymycetes,Agaricomycotina,Basidiomycota,,
Entoloma / sinuatum,,,,,,,,
Entoloma / sp.,,,,,,,,
Exidia / albida,Auriculariaceae,Auriculariales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Exidia / glandulosa,Auriculariaceae,Auriculariales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Exidia / recisa,Auriculariaceae,Auriculariales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Fistulina / hepatica,Fistulinaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Flammulina / velutipes,Physalacriaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Fomes / fomentarius,Polyporaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Fuligo / septica,,,,,,,,
Ganoderma / adspersum,Ganodermataceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Ganoderma / applanatum,Ganodermataceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Ganoderma / lucidum,Ganodermataceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Geastrum / fornicatum,Geastraceae,Geastrales,Phallomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Geastrum / rufescens,Geastraceae,Geastrales,Phallomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Geastrum / triplex,,,,,,,,
Gleophyllum / sepiarium,Gleophyllaceae,Gleophyllales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Gomphus / clavatus,,,,,,,,
Grifola / frondosa,,,,,,,,
Gymnopilus / spectabilis,,,,,,,,
Gyromitra / esculenta,,,,,,,,
Gyroporus / castaneus,,,,,,,,
